Birth Order,Property Name,Location,# of Units,Pref or Mezz?,% Stoa-Owned,Construction Start Date,Construction Completion Date,% Complete as of X Date,Lease-Up Start Date,Lease-up Completed Date,% Occupied as of X Date,Project Cost,Project Cost/Unit,Construction Loan Amount,Construction Loan LTC,Construction Financing Lender,Construction Loan Closing,Common Equity Requirement,Permanent Financing Close Date,Permanent Financing Value,per Unit Value,Permanent Financing Lender,Permancent Financing Loan Amount,Permanent Financing LTV,Permanent Interest Rate,Cash-out at Refi (Project-Level),Cash-out at Refi (Stoa),Residual Monthly Cash-Flow (Stoa),NOI,NOI per Unit,Average Rent,Yield on Cost,Debt Yield,Stabilized CoC Returns,Projected Sale Price,per Unit Sale Price,Sale Date,Projected Sale Cap Rate,Project Profit,Projected IRR,Final Cost Projected Over/(Under),Current DSCR,Current FCF,col_3,col_4,col_5,col_6
Stabilized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,The Heights at Picardy,"Baton Rouge, LA",232.0,Pref,0.8929999999999999,2023-08-02,2025-07-23,1.0,2025-05-31,2026-08-31,0.5216,43681066.16809572,188280.45762110225,35962776.0,0.8233035306786285,b1Bank,2023-10-11,-3259347.000000002,2027-02-28 00:00:00,54752118.02741265,236000.50873884765,Berkadia (HUD),40895219.78315295,0.7469157588146272,0.055,5298972.488538322,1088800.8250040987,33787.87069533234,3148246.7865762278,13570.02925248374,1760.2171633826204,0.07340129414968453,0.0875418178667917,0.11557689337572691,59110334.39035049,254785.92409633833,2037-02-28,0.0675,30239520.336164087,0.21223115324974062,-1272404.4494743943,0.1159503337295358,-180333.2734064,0.5485327356012972,,,
18,The Waters at McGowin,"Mobile, AL",252.0,Pref,0.874,2024-02-05,2025-11-25,0.99,2025-05-31,2026-10-31,0.3611,44359225.92260397,176028.6742960475,31815771.0,0.71723007645604,Fidelity Bank,2024-01-19,-5952430.922603972,2027-04-30 00:00:00,59224426.545685925,235017.56565748382,Berkadia (HUD),46158946.94998138,0.7793903570239588,0.055,12758566.447377406,7737806.677126061,37062.880041669196,3553465.5927411555,14101.05393944903,1788.095238095238,0.0815267966815067,0.11168880970199199,0.08496337439140965,64332561.24886754,255287.94146376007,2037-04-30,0.06999999999999999,36674993.34686966,0.2587606489658356,1886166.5026039705,-0.16444186883010475,-207831.07940827464,0.46487699787059333,,,
19,The Waters at Freeport,"Freeport, FL",226.0,Pref,0.9215,2024-05-20,2026-02-03,0.93,2025-10-31,2027-01-31,0.0752,49542891.558050506,219216.3343276571,35000000.0,0.7064585634649468,Pen-Air Credit Union,2024-04-24,-6287921.720401514,2027-07-31 00:00:00,61179741.33260963,270706.82005579484,Berkadia (HUD),43709325.4032014,0.7144411606052956,0.055,8709324.493201405,0,0,3364885.7732935296,14888.875103068714,1935.9040409265579,0.06905906509886724,0.09613959352267228,0.09062507051079362,74304728.27516933,328781.98351844837,2037-07-31,0.065,41983525.318131626,0.1721668303012848,721099.3078210801,-0.6039674519328361,-286763.857875,0.3778169125599362,,,
20,The Heights at Waterpointe,"Flowood, MS",240.0,Pref,0.874,2024-08-15,2026-09-11,0.34,2026-07-31,2027-09-30,0,44634994.04670888,185979.141861287,32467928.0,0.7274097083114541,Trustmark Bank,2024-07-31,-6077238.887440197,2028-03-31 00:00:00,59885775.617982656,249524.06507492773,Berkadia (HUD),44729629.53790802,0.7469157588146272,0.055,12261701.537908018,4505695.263049318,38310.730733716286,3443432.098034003,14347.633741808346,1866.4243811607143,0.07849070382686262,0.10605641659775773,0.09332545590567003,70263635.7457436,292765.14894059836,2038-03-31,0.0675,42450561.48552896,0.20656226277351386,184101.3522671765,0.0,-69180.037422348,0.40808521325158753,,,
21,The Waters at Promenade,"Marrero, LA",324.0,Pref,0.0,2024-11-04,2026-09-30,0.54,2025-12-31,2027-09-30,0,54412410.045204036,167939.53717655566,43540541.0,0.8001950467517971,b1Bank,2024-10-15,-3808776.5008367775,2028-03-31 00:00:00,73092295.32001118,225593.50407410858,Berkadia (HUD),56967430.14516415,0.7793903570239588,0.055,13440085.77549956,0,0,4385537.719200671,13535.610244446514,1942.423519736842,0.082086746672129,0.1007230874600449,0.13962405967382296,80051691.23493397,247073.12109547522,2038-03-31,0.06999999999999999,46614442.90181877,0.3036591231822968,-13265.83667716384,-0.723551602648071,-194245.20939215465,0.670575868165838,,,
22,The Flats at Ransley,"Pensacola, FL",294.0,Pref,0.93,2025-01-29,2027-01-05,0.23,2026-05-31,2027-10-31,0,52230286.433516935,177654.03548815285,38624364.0,0.7395012862731342,Hancock Whitney,2024-12-20,-5434537.4335169345,2028-04-30 00:00:00,75204374.38926362,255797.1918002164,Berkadia (HUD),55343547.413198,0.7359086205110298,0.0525,16719183.413198002,9292759.517127687,42731.23127011016,4136240.591409499,14068.845549011901,1841.2371373426415,0.08054708078988848,0.10708889838055324,0.0896422020255945,79486473.78785215,270362.15574099374,2038-04-30,0.065,47757742.11570336,0.2811213195323944,731134.4244516268,-0.22561514602742144,-85696.58309780568,0.6355790760493139,,,
23,The Heights at Materra,"Baton Rouge, LA",295.0,Pref,0.9,2025-04-14,2027-07-20,0.14,2026-11-30,2028-03-31,0,52807207.591438495,179007.48336080846,36573000.0,0.6925759127988713,First Horizon,2025-02-28,-5364670.851438493,2028-09-30 00:00:00,66177609.916859284,224330.88107409928,Berkadia (HUD),50914340.60547992,0.7693590123524403,0.0525,14341340.605479918,1192300.0349057287,38778.335849590185,3805212.570219409,12899.025661760708,1727.7852221600099,0.07345517301786463,0.10404431056296747,0.06674940139554034,70713736.05262765,239707.57983941576,2038-09-30,0.0675,36366099.43348161,0.1767944633960724,560064.4625236169,0.0,0.0,0.41685427980690815,,,
24,The Flats at Crosspointe,"Columbia, SC",336.0,Pref,0.9,2025-03-17,2027-03-30,0.27,2026-07-31,2028-01-31,0,55109089.796306245,164015.1482032924,41580000.0,0.7545034794384674,Wells Fargo,2025-03-27,-5022669.479999997,2028-07-31 00:00:00,77070166.93486495,229375.49682995523,Berkadia (HUD),59294627.51484539,0.7693590123524402,0.0525,18285275.378539115,8307870.396533276,45760.190123289474,4431534.598754735,13189.091067722426,1729.7715201984586,0.08193810885726865,0.10657851367856505,0.09568511324096686,73501013.52133259,218753.01643253746,2038-07-31,0.0675,39634064.362428814,0.2680883467197418,-570647.9475185722,0.0,-22285.90056371975,0.6523204020641489,,,
25,The Heights at Inverness,"Hoover, AL",289.0,Pref,0.0,2025-05-15,2027-09-22,0.09,2027-03-31,2028-07-31,0,56371218.945876405,195056.12091998756,41874574.0,0.7428360568219211,Hancock Whitney,2025-05-07,-5111764.193199627,2029-01-31 00:00:00,71351397.75100201,246890.64965744643,Berkadia (HUD),54894840.90367703,0.7693590123524402,0.0525,12481812.543315172,0,0,4102705.370682616,14196.212355303169,1923.2400328562544,0.07406182532066777,0.09797605035176277,0.11482794529416734,84604541.75710215,292749.2794363396,2039-01-31,0.0675,50705585.734313205,0.21818905472755432,538455.0424461216,-0.4461497185180461,-20082.236344316796,0.44196857403014866,,,
26,The Waters at Conway,"Gonzales, LA",312.0,Pref,0.92,2025-08-25,2027-07-27,0.05,2026-09-30,2028-01-31,0,48728057.93889306,156179.6728810675,38982446.0,0.7999999927944093,b1Bank,2025-08-11,-188043.26999999955,2028-07-31 00:00:00,60047244.36103877,192459.11654179092,Berkadia (HUD),46800243.2208549,0.7793903570239588,0.055,6740393.09981719,0,0,3602834.6616623257,11547.546992507454,1548.227874495698,0.07393757958054527,0.09242197530812525,0.1183830893823404,65903652.10433415,211229.6541805582,2038-07-31,0.06999999999999999,33344757.295611136,0.24037374854087826,991851.3543385044,0.0,-2534.41,2.990801523450367,,,
