Project,Status,Units,Location,Product Type,Stabilized Date,Duration,IRR,Stoa IRR,YOC,Cap Rate,Spread,/Unit Cost Basis,/Unit Value,col_2,Loan Last Dollar,Pref Last Dollar,/Unit Cost Basis*,/Unit Loan Amount,/Unit Value_2,Cap Rate_2,Spread_2,/Unit Actual vs BS Values,Current Occupancy,Leases,Stoa %
The Waters at Conway,Construction,312,"Gonzales, LA",Garden,2028-01-31 00:00:00,35,0.24037374854087826,N/A,0.07393757958054527,0.064,0.1344049891397862,156179.6728810675,180430.42175792897,The Waters at Conway,124943.73830485399,161411.65328281454,174908.23215999352,189947.5463795053,192459.11654179092,0.06,0.18986603772974608,40265.676168097096,,,
The Waters at Covington,Construction,336,"Covington, LA",Garden,2028-09-30 00:00:00,33,0.2361081063747406,0.2704133570194246,0.07842775437185377,0.064,0.18396235474812495,162368.60352712224,198971.95242384454,The Waters at Covington,121776.45264534166,148388.2593246399,175522.32679832273,165415.2757731993,212236.74925210088,0.06,0.23496470757636717,-13264.796828256338,,,
Total / Average,,5159 / 287,,,,41.44444444444444,0.22451679988364007,0.25361157239739385,0.07533794838894253,0.06258670112963283,0.16585306884344006,170822.3921015604,202724.37872954915,,127285.68480152306,158223.66743197563,172607.8510976663,167267.99116729194,216369.85537643192,0.05872504361310332,0.21779518048829002,-10938.939624366625,,,0.6772916666666666
,,,,,,,,,,,,,,Spread to HUD Loan,39982.306365768876,9044.323735316313,-5339.859930374369,,,,,,,,
,,,,,,,,,,,,,,Spread to Value,89084.17057490886,58146.187944456295,43762.00427876561,49101.86420913998,,,,,,,
Project,Status,Units,Location,Product Type,Stabilized Date,Duration,IRR,Stoa IRR,YOC,Cap Rate,Spread,/Unit Cost Basis,/Unit Value,,,Lift,0.25353426278393243,,,,,,,,
The Waters at Heritage,Liquidated,299,"Gonzales, LA",Urban Garden,2024-10-31 00:00:00,42,0.12773037552833558,0.11905248761177065,0.06795596970806145,0.0631957034561984,0.07004927267336669,174740.0232396052,183946.4882943144,,,,,,,,,,,,
The Waters at Ransley,Liquidated,336,"Pensacola, FL",Garden,2024-08-31 00:00:00,49,0.31749548316001897,0.4037515461444855,0.07250210820326616,0.05467363494718588,0.24590282541987002,162796.09046035807,211309.52380952382,,,,,,,,,,,,
The Flats at East Bay,Liquidated,240,"Fairhope, AL",Garden,2025-03-31 00:00:00,#VALUE!,0.1389352023601532,0.1545354902744294,0.06460089738699024,0.05603249662999401,0.13263594011190608,183847.95770833327,207500,,,,,,,,,,,,
Total / Average,,875 / 292,,,,#VALUE!,0.20367350078991484,0.23810940681866238,0.0687814384821548,0.05795846384783582,0.15474366571116618,172651.72936379685,200914.2857142857,,HUD Loan does not clear hurdle,,*Includes pref interest but not GC Profit/Dev Fee,,,,,,,,
,,,,,,,,,,,,,,,HUD Loan clears hurdle,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions:,,,,,,,,,,,,,,,,,,,,,,,,,
IRR,Project-Level IRR,,,,,,,,,,,,,,,,,,,,,,,,
Stoa IRR,IRR on Stoa's equity,,,,,,,,,,,,,,,,,,,,,,,,
YOC,"Yield on Cost, Net Operating Income divided by Total Cost (inclusive of GC Profit and Developer Fee, but not preferred equity interest carry)",,,,,,,,,,,,,,,,,,,,,,,,
Spread,"Development Margin, (YOC - Cap Rate) / Cap Rate",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
0.061,Eastdil Cap Rate,,,,,,,,,,,,,,,,,,,,,,,,
0.003,LA Adjustment,,,,,,,,,,,,,,,,,,,,,,,,
0.003,MS Adjustment,,,,,,,,,,,,,,,,,,,,,,,,
-0.001,FL Adjustment,,,,,,,,,,,,,,,,,,,,,,,,
0,AL Adjustment,,,,,,,,,,,,,,,,,,,,,,,,
0,SC Adjustment,,,,,,,,,,,,,,,,,,,,,,,,
